"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"1";"";"F09HP";"F09HP";"X1";"SUB-D";"";"";"unknown";"unknown";
"2";"100n/50V";"C0805";"C0805";"C1, C9";"";"";"";"";"";
"1";"220uF/35V";"CPOL-EUTT5D11";"TT5D11";"C2";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"1";"330uF/10V";"CPOL-EUUD-8X10";"UD-8X10_NICHICON";"C3";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"1";"330uH/2A_RH127";"POWER_INDUCTOR-1260";"MSS1260";"L1";"";"";"";"";"";
"1";"DB207S";"DB207S";"DBS";"DB1";"";"";"";"";"";
"1";"LM2575D2T-012";"LM2575D2T";"DDPAK-5_MICROCHIP";"IC2";"Pb?Free Add G at the end";"";"";"";"";
"1";"PH-8AW";"PH-8AW";"PH-8AW";"CON1";"90¶È£¬PH ²å×ù£¬2.0mm¼ä¾à";"";"";"";"";
"1";"SS24";"SCHOTTKY-DIODE-SS24";"DO214AA";"D8";"";"";"";"";"";
"1";"SY-LOGO_BOTTOM";"SY-LOGO_BOTTOM";"SY-LOGO_BOTTOM";"LOGO1";"";"";"";"";"";
"1";"XH-8AW";"XH-8AW";"XH-8AW";"CON2";"";"";"";"";"";
